,Family,Virus,Abbreviation,Species,Probe,Accession,Identifier,Strand
CM014241.1-H0SBG2,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,H0SBG2,-
CM014241.1-XTRHD1,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,XTRHD1,-
CM014241.1-HYXUTO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,HYXUTO,-
CM014241.1-3I2C79,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,3I2C79,-
CM014241.1-Y2YK14,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,Y2YK14,-
CM014241.1-6Z167J,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,6Z167J,-
CM014241.1-4B29TM,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,4B29TM,-
CM014241.1-DHMPD1,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014241.1,DHMPD1,-
RXPC01000012.1-SBZ0P6,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000012.1,SBZ0P6,-
RXPC01000012.1-2RTP9T,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000012.1,2RTP9T,-
RXPC01000012.1-BDD57W,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000012.1,BDD57W,+
RXPC01000080.1-I4AIHR,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000080.1,I4AIHR,+
RXPC01000080.1-HRT0SY,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000080.1,HRT0SY,+
CM014248.1-O5X8EC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,O5X8EC,-
CM014248.1-9YQ4OO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,9YQ4OO,-
CM014248.1-BHWCI8,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,BHWCI8,-
CM014248.1-N8OXG9,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,N8OXG9,-
CM014248.1-OGT2AL,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,OGT2AL,-
CM014243.1-ZFOGBR,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014243.1,ZFOGBR,-
CM014243.1-VK1AQ9,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014243.1,VK1AQ9,-
CM014226.1-4ZVKUP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014226.1,4ZVKUP,+
CM014248.1-5OEDK6,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,5OEDK6,-
CM014248.1-H406AC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,H406AC,-
CM014248.1-OKXH3D,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,OKXH3D,-
CM014248.1-JJNCWY,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,JJNCWY,-
CM014248.1-5G9YMQ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,5G9YMQ,-
CM014248.1-VN6B7V,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,VN6B7V,+
CM014248.1-CI6EBX,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,CI6EBX,+
CM014248.1-OAYANH,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,OAYANH,+
CM014248.1-6Q9E5V,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,6Q9E5V,+
CM014248.1-DXG6B7,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,DXG6B7,+
CM014248.1-8VEJEW,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,8VEJEW,+
CM014248.1-VDYUTU,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,VDYUTU,+
CM014248.1-RM5E6F,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,RM5E6F,+
CM014248.1-LGPSJ2,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,LGPSJ2,+
CM014248.1-CDI8LL,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,CDI8LL,+
CM014248.1-CGTXAW,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014248.1,CGTXAW,+
CM014244.1-S1Z9VK,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,S1Z9VK,+
CM014244.1-MCBV94,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,MCBV94,+
CM014244.1-I52KFX,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,I52KFX,+
CM014244.1-IB6S4Z,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,IB6S4Z,+
CM014244.1-0ZQUWD,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,0ZQUWD,+
CM014244.1-YFG6E6,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,YFG6E6,+
CM014244.1-F702Y2,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,F702Y2,+
CM014244.1-RXY9HS,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,RXY9HS,+
CM014244.1-A96N61,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,A96N61,+
CM014244.1-XBJP40,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,XBJP40,+
CM014244.1-XT07KK,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,XT07KK,+
CM014244.1-8WQA5E,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,8WQA5E,+
CM014244.1-ACGCCK,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,ACGCCK,+
CM014244.1-5KSN7X,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,5KSN7X,+
CM014244.1-7MI4AI,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,7MI4AI,+
CM014230.1-K68D7C,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014230.1,K68D7C,-
CM014244.1-6DBXSV,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,6DBXSV,+
CM014244.1-M49I2X,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,M49I2X,-
CM014244.1-ZPS030,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,ZPS030,-
CM014244.1-7O69YO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,7O69YO,-
CM014244.1-3LHF00,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,3LHF00,-
CM014244.1-HTJA7D,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,HTJA7D,-
CM014244.1-IYIGUR,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,IYIGUR,-
CM014230.1-N583FS,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014230.1,N583FS,-
CM014244.1-O7UNHI,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,O7UNHI,-
CM014244.1-SQ867R,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,SQ867R,-
CM014244.1-RFQFGP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014244.1,RFQFGP,-
CM014227.1-PRMMCH,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,PRMMCH,+
CM014227.1-HAHDDC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,HAHDDC,+
CM014227.1-R79OM5,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,R79OM5,+
CM014227.1-6LBN37,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,6LBN37,+
CM014227.1-SGMH2Y,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,SGMH2Y,+
CM014227.1-AC0PS2,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,AC0PS2,+
CM014227.1-F0KDPO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,F0KDPO,+
CM014227.1-8CRP2Y,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,8CRP2Y,+
CM014227.1-BNTN43,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,BNTN43,-
CM014227.1-33TYYP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,33TYYP,-
CM014227.1-O3A7V0,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,O3A7V0,-
CM014227.1-TNFXC3,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,TNFXC3,-
CM014227.1-47ICLU,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,47ICLU,-
CM014227.1-ILQCE7,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014227.1,ILQCE7,-
CM014235.1-XEBIEJ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,XEBIEJ,+
CM014235.1-FQMWK3,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,FQMWK3,+
CM014235.1-TRS8R4,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,TRS8R4,+
CM014235.1-CEJC0R,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,CEJC0R,+
CM014234.1-3ZR21W,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014234.1,3ZR21W,+
CM014235.1-0PV61K,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,0PV61K,+
CM014235.1-L6BK77,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,L6BK77,-
CM014235.1-J3M0BY,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,J3M0BY,-
CM014235.1-PIPPFJ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,PIPPFJ,-
CM014235.1-EDZ8GF,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,EDZ8GF,-
CM014235.1-S0UPZI,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014235.1,S0UPZI,-
CM014228.1-J9N546,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,J9N546,+
CM014228.1-IGWK3A,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,IGWK3A,+
CM014228.1-LG6RLO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,LG6RLO,+
CM014228.1-Q87KTD,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,Q87KTD,+
CM014228.1-QM9NBQ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,QM9NBQ,+
CM014228.1-X6U17D,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,X6U17D,+
CM014228.1-1KF548,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,1KF548,+
CM014228.1-R1VBOD,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,R1VBOD,+
CM014228.1-PAD0O0,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,PAD0O0,-
CM014228.1-K1X3JZ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,K1X3JZ,-
CM014228.1-BR822D,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,BR822D,-
CM014228.1-1FAG9A,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,1FAG9A,-
CM014228.1-101HWO,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,101HWO,-
CM014228.1-M1BDBV,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014228.1,M1BDBV,-
RXPC01000120.1-WAQVRH,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000120.1,WAQVRH,+
RXPC01000120.1-QBYQ3H,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000120.1,QBYQ3H,-
CM014242.1-3J9L9M,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014242.1,3J9L9M,-
CM014242.1-HD29W3,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014242.1,HD29W3,-
CM014242.1-ZTEMVH,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014242.1,ZTEMVH,+
RXPC01000114.1-W2PUM4,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000114.1,W2PUM4,-
CM014242.1-VGJI4U,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014242.1,VGJI4U,+
CM014252.1-7F1E0B,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,7F1E0B,-
CM014252.1-OYSZYZ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,OYSZYZ,-
CM014252.1-2SJCCP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,2SJCCP,-
CM014252.1-PMBYEB,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,PMBYEB,-
CM014252.1-QCC2UA,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,QCC2UA,+
CM014252.1-GKLMZP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014252.1,GKLMZP,+
RXPC01000087.1-0HN1EC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000087.1,0HN1EC,-
RXPC01000087.1-O598ZL,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000087.1,O598ZL,+
RXPC01000087.1-LYCYWC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000087.1,LYCYWC,+
CM014253.1-SWD13H,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014253.1,SWD13H,-
RXPC01000119.1-TCSKAI,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000119.1,TCSKAI,-
CM014251.1-ZPUWV2,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014251.1,ZPUWV2,-
CM014233.1-E9W33W,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014233.1,E9W33W,+
CM014251.1-EB00R5,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014251.1,EB00R5,-
CM014251.1-LGZLKC,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014251.1,LGZLKC,-
CM014251.1-ADF2AL,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,CM014251.1,ADF2AL,+
RXPC01000084.1-TBKUX7,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000084.1,TBKUX7,-
RXPC01000084.1-CXC6FQ,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000084.1,CXC6FQ,-
RXPC01000125.1-275AYP,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000125.1,275AYP,+
RXPC01000125.1-GB95OS,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000125.1,GB95OS,-
RXPC01000074.1-OZHPMF,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000074.1,OZHPMF,+
RXPC01000118.1-N62AB9,Spumaretrovirus,Feline foamy virus,FFV,Rhinolophus_ferrumequinum,POL,RXPC01000118.1,N62AB9,+
CM014234.1-H3O1AH,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014234.1,H3O1AH,-
CM014234.1-9M9YNT,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014234.1,9M9YNT,-
CM014234.1-8C43IB,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014234.1,8C43IB,-
CM014234.1-TZEPW4,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014234.1,TZEPW4,-
CM014234.1-F6EHC3,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014234.1,F6EHC3,-
CM014234.1-FVH1Z3,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014234.1,FVH1Z3,-
CM014234.1-1QFV8J,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014234.1,1QFV8J,-
CM014234.1-FUF4E8,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014234.1,FUF4E8,-
CM014248.1-E24GV1,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014248.1,E24GV1,-
CM014248.1-J8UE5A,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014248.1,J8UE5A,-
CM014248.1-WHZJ2J,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014248.1,WHZJ2J,-
CM014248.1-EOEMYE,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014248.1,EOEMYE,-
CM014248.1-FPB768,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014248.1,FPB768,+
CM014248.1-UPP5NN,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014248.1,UPP5NN,+
CM014248.1-TJDVIX,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014248.1,TJDVIX,+
CM014248.1-REIBKO,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014248.1,REIBKO,+
CM014226.1-BCABGL,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,BCABGL,+
CM014226.1-VE5FVA,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,VE5FVA,+
CM014226.1-COLJ5S,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,COLJ5S,+
CM014226.1-MGE1L5,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,MGE1L5,+
CM014226.1-0K2KW0,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014226.1,0K2KW0,+
CM014226.1-W4IMUR,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,W4IMUR,+
CM014226.1-V9ZRY5,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,V9ZRY5,+
CM014226.1-L1HAN9,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014226.1,L1HAN9,+
CM014226.1-KANSZN,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,KANSZN,+
CM014226.1-EWZRF8,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,EWZRF8,+
CM014226.1-ERTJ44,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,ERTJ44,+
CM014226.1-XSOXCX,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,XSOXCX,+
CM014226.1-L6VP9M,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,L6VP9M,+
CM014226.1-G3AAVI,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,G3AAVI,+
CM014226.1-EU48VL,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,EU48VL,+
CM014226.1-SSSG46,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,SSSG46,+
CM014226.1-XPU46N,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,XPU46N,+
CM014226.1-QQ761Z,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,QQ761Z,+
CM014226.1-PN8LUU,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,PN8LUU,+
CM014226.1-LOYR68,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,LOYR68,+
CM014226.1-ZT0ETU,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,ZT0ETU,+
CM014226.1-WC19S0,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,WC19S0,+
CM014226.1-QAFG68,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014226.1,QAFG68,+
CM014226.1-G6IRZG,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,G6IRZG,+
CM014226.1-VVQTBY,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,VVQTBY,+
CM014226.1-Q1XBG1,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,Q1XBG1,+
CM014226.1-XTYNON,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,XTYNON,+
CM014226.1-6JZSJZ,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,6JZSJZ,+
CM014226.1-BG1AOG,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,BG1AOG,+
CM014226.1-KQK2ST,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014226.1,KQK2ST,+
CM014226.1-HBOG5K,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,ENV,CM014226.1,HBOG5K,+
CM014226.1-W9FSTA,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,W9FSTA,+
CM014226.1-QXIMYS,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,QXIMYS,+
CM014226.1-7HCB8D,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,7HCB8D,+
CM014226.1-HK2288,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,POL,CM014226.1,HK2288,+
CM014226.1-IOL5WB,Gammaretrovirus,Desmodus rotundus endogenous retrovirus,DrERV,Rhinolophus_ferrumequinum,GAG,CM014226.1,IOL5WB,+
